lap,direction,start-xx,end xx,start-time,end-time
-1,-1,234.5,312.4,1548781295.0,1548781780.0
0,0,312.4,136.0,1548781780.0,1548781820.0
0,1,136.0,317.9,1548781820.0,1548781865.0
1,0,317.9,132.6,1548781865.0,1548781910.0
1,1,132.6,312.2,1548781910.0,1548781961.0
2,0,312.2,132.5,1548781961.0,1548782007.0
2,1,132.5,309.0,1548782007.0,1548782082.0
3,0,309.0,136.1,1548782082.0,1548782135.0
3,1,136.1,311.1,1548782135.0,1548782174.0
4,0,311.1,133.8,1548782174.0,1548782229.0
4,1,133.8,315.0,1548782229.0,1548782273.0
5,0,315.0,132.5,1548782273.0,1548782318.0
5,1,132.5,310.4,1548782318.0,1548782367.0
6,0,310.4,129.0,1548782367.0,1548782433.0
6,1,129.0,309.3,1548782433.0,1548782483.0
7,0,309.3,133.6,1548782483.0,1548782526.0
7,1,133.6,313.9,1548782526.0,1548782575.0
8,0,313.9,132.8,1548782575.0,1548782626.0
8,1,132.8,299.5,1548782626.0,1548782663.0
-1,-1,299.5,230.3,1548782663.0,1548782686.0
-1,-1,230.3,233.3,1548782686.0,1548782755.0